comment_id,post_id,user_handle,comment_text,timestamp,label,score,platform,language
C_0001,POST_0001,user_123,This is exactly what I was looking for! ğŸ’š,2025-11-07 10:00:00,positive,0.8587,Facebook,en
C_0002,POST_0001,user_456,Price is a bit high for me,2025-11-07 11:30:00,negative,0.7429,Facebook,en
C_0003,POST_0002,user_888,Ekdum mast product hai! ğŸ‘Œ,2025-11-07 12:00:00,positive,0.6843,Instagram,hinglish
C_0004,POST_0003,user_221,Worst service ever. No reply to my DMs.,2025-11-07 12:15:00,negative,0.9484,Twitter,en
C_0005,POST_0003,user_999,The app keeps crashing when I try to checkout. Very bad experience!,2026-01-03 14:00:00,negative,0.9534,Twitter,en
C_0006,POST_0002,user_444,Delivery was delayed by 2 weeks. I want a refund now.,2026-01-03 14:30:00,negative,0.775,Instagram,en
C_0007,POST_0001,user_111,I received a broken item. Support is not picking up the call.,2026-01-03 15:00:00,negative,0.679,Facebook,en
C_0008,POST_0004,user_777,Does this come in Blue color? Love the design btw.,2026-01-03 15:15:00,positive,0.8432,Facebook,en
C_6086,POST_0001,digital_nomad,"Ekdum mast product hai, fast delivery.",2026-01-03 18:45:50,positive,0.5783,Facebook,hinglish
C_6310,POST_0003,digital_nomad,"Decent product, but packaging could be better.",2026-01-03 18:51:52,positive,0.5841,Twitter,en
C_7324,POST_0002,eco_warrior,"Ekdum mast product hai, fast delivery.",2026-01-04 12:20:56,positive,0.5783,Instagram,hinglish
C_8784,POST_0002,user_682,1. Website crash ruined my order ğŸ˜¡ Fix your servers!,2026-01-04 13:11:32,negative,0.9414,Instagram,en
C_6834,POST_0004,user_444,"2. Received broken items ğŸ˜  Unacceptable, replace immediately!",2026-01-04 13:11:32,negative,0.9526,Facebook,en
C_6969,POST_0003,user_231,3. Shipping delay caused missed event ğŸ¤¬ Refund for inconvenience ASAP.,2026-01-04 13:11:32,negative,0.8186,Twitter,en
C_5065,POST_0001,user_984,"1. OMG, the new sustainable collection is everything I've been waiting for! ğŸŒ¿â™»ï¸ Love this!",2026-01-04 13:35:44,positive,0.9305,Facebook,en
C_8828,POST_0003,user_804,"2. Finally, a brand that cares about the planet as much as I do! ğŸŒğŸ™Œ",2026-01-04 13:35:44,positive,0.8204,Twitter,en
C_5905,POST_0002,user_263,3. This collection is giving me life! Can't wait to shop 'til I drop! ğŸ’šğŸ›ï¸,2026-01-04 13:35:44,positive,0.9304,Instagram,en
C_8644,POST_0003,user_446,4. Sustainable fashion goals! My closet is about to get a major upgrade. ğŸŒ±ğŸ’ƒ,2026-01-04 13:35:44,positive,0.9077,Twitter,en
C_8263,POST_0001,user_200,"5. Eek, so excited for this eco-friendly goodness! It's about time! ğŸŒ¿ğŸ‰",2026-01-04 13:35:44,positive,0.9288,Facebook,en
C_9661,POST_0004,user_218,6. Thank you for making sustainable fashion look so chic! Obsessed. ğŸ’â€â™€ï¸ğŸŒŸ,2026-01-04 13:35:44,positive,0.9231,Facebook,en
C_9819,POST_0003,user_211,7. My heart is bursting with joy over this collection! So much love! ğŸ’–ğŸŒ¿,2026-01-04 13:35:44,positive,0.9357,Twitter,en
C_8245,POST_0003,user_788,"8. Brb, crying tears of joy over this sustainable fashion dream come true. ğŸ˜­ğŸ’š",2026-01-04 13:35:44,positive,0.9114,Twitter,en
C_5081,POST_0001,user_513,9. Squealing with excitement over the launch of this amazing sustainable collection! ğŸ™ŠğŸ™Œ,2026-01-04 13:35:44,positive,0.9238,Facebook,en
C_6658,POST_0002,user_849,10. Consider me officially obsessed with everything in this eco-friendly line! Yasss! ğŸŒ¿ğŸ’«,2026-01-04 13:35:44,positive,0.9124,Instagram,en
C_7905,POST_0001,user_858,1. Website crash ruined my order! ğŸ˜¡,2026-01-04 13:40:10,negative,0.9452,Facebook,en
C_7686,POST_0003,user_381,"2. Broken items received, unacceptable! ğŸ˜ ",2026-01-04 13:40:10,negative,0.9602,Twitter,en
C_5144,POST_0004,user_992,3. Shipping delay caused major inconvenience. ğŸ˜¤,2026-01-04 13:40:10,negative,0.9191,Facebook,en
C_7144,POST_0004,user_419,"4. Unreliable service, disappointed with this brand. ğŸ˜¡",2026-01-04 13:40:10,negative,0.9648,Facebook,en
C_9203,POST_0003,user_974,5. Frustrated by poor customer experience. ğŸ˜ ,2026-01-04 13:40:10,negative,0.9565,Twitter,en
C_5874,POST_0004,user_820,1. Love the eco-friendly options! ğŸ’š,2026-01-04 13:41:01,positive,0.9077,Facebook,en
C_9551,POST_0003,user_412,2. Great selection of organic materials. ğŸ‘Œ,2026-01-04 13:41:01,positive,0.9081,Twitter,en
C_6509,POST_0004,user_348,3. Sustainable fashion never looked so good! ğŸ˜,2026-01-04 13:41:01,positive,0.9169,Facebook,en
C_9051,POST_0002,user_759,4. Can't wait to rock these stylish pieces! ğŸ’ƒ,2026-01-04 13:41:01,positive,0.9304,Instagram,en
C_8357,POST_0004,user_527,5. Kya cool collection hai! â™»ï¸,2026-01-04 13:41:01,positive,0.9191,Facebook,hinglish
C_5226,POST_0002,user_344,"6. Finally, trendy clothes that are good for the planet! ğŸŒ",2026-01-04 13:41:01,positive,0.8397,Instagram,en
C_7645,POST_0003,user_355,7. Loving the earth-friendly vibes. ğŸŒ¿,2026-01-04 13:41:01,positive,0.8939,Twitter,en
C_5300,POST_0001,user_637,8. Sustainable fashion is the way to go! ğŸ‘,2026-01-04 13:41:01,positive,0.9134,Facebook,en
C_7529,POST_0002,user_968,9. Excited to support this eco-conscious brand. ğŸ™Œ,2026-01-04 13:41:01,positive,0.933,Instagram,en
C_7050,POST_0004,user_974,10. Time to update my wardrobe with sustainable finds. ğŸ›,2026-01-04 13:41:01,positive,0.634,Facebook,en
C_8554,POST_0004,user_767,1. Website crashed during checkout ğŸ˜¡,2026-01-04 13:43:01,negative,0.9074,Facebook,en
C_9568,POST_0001,user_866,2. Items arrived broken ğŸ˜ ,2026-01-04 13:43:01,negative,0.9048,Facebook,en
C_5061,POST_0002,user_553,3. Shipping delayed without notice ğŸ¤¬,2026-01-04 13:43:01,negative,0.8119,Instagram,en
C_5899,POST_0002,user_571,4. Can't track package ğŸ˜¤,2026-01-04 13:43:01,negative,0.8771,Instagram,en
C_9587,POST_0001,user_171,5. Customer service unreachable ğŸ¤¯,2026-01-04 13:43:01,negative,0.9371,Facebook,en
C_5603,POST_0004,user_353,1. OMG! ğŸŒ¿ Sustainable fashion is everything! Love this! â™»ï¸,2026-01-04 13:43:46,positive,0.9312,Facebook,en
C_6212,POST_0004,user_528,2. Yasss! Finally a brand doing their part for the planet. ğŸŒ,2026-01-04 13:43:46,positive,0.9063,Facebook,en
C_7300,POST_0002,user_365,3. This collection is a dream come true. Can't wait to shop! ğŸ’š,2026-01-04 13:43:46,positive,0.9374,Instagram,en
C_9769,POST_0002,user_584,4. Eeek! So excited for sustainable options. Thank you! ğŸ™Œ,2026-01-04 13:43:46,positive,0.9331,Instagram,en
C_6141,POST_0002,user_605,5. My eco-friendly heart is so happy right now. ğŸ’•ğŸŒ±,2026-01-04 13:43:46,positive,0.926,Instagram,en
C_5465,POST_0001,user_870,6. Saving the Earth in style! Obsessed with this collection. ğŸŒŸ,2026-01-04 13:43:46,positive,0.9351,Facebook,en
C_7303,POST_0003,user_451,7. Sustainable fashion for the win! Loving all of it. ğŸŒ¿ğŸ’«,2026-01-04 13:43:46,positive,0.9398,Twitter,en
C_5113,POST_0001,user_678,8. Time to upgrade my wardrobe with these eco-friendly pieces. ğŸ›ï¸â™»ï¸,2026-01-04 13:43:46,positive,0.7567,Facebook,en
C_7227,POST_0004,user_661,"9. Finally, a brand that gets it - sustainability is key! ğŸŒğŸ’–",2026-01-04 13:43:46,positive,0.8969,Facebook,en
C_5912,POST_0001,user_434,10. My sustainability-loving heart can't handle the excitement. Obsessed! ğŸŒ¸âœ¨,2026-01-04 13:43:46,positive,0.7134,Facebook,en
C_6030,POST_0004,user_534,"1. Omg, so excited for this sustainable collection launch! â™»ï¸ğŸŒ¿ Love this!",2026-01-04 13:46:56,positive,0.9356,Facebook,en
C_7722,POST_0003,user_400,"2. Finally, a brand that is thinking about the planet! ğŸŒğŸŒŸğŸ’š",2026-01-04 13:46:56,positive,0.8112,Twitter,en
C_8447,POST_0002,user_132,3. Yasss! Can't wait to get my hands on these eco-friendly pieces! ğŸ™ŒğŸŒ¿â™»ï¸,2026-01-04 13:46:56,positive,0.9069,Instagram,en
C_5249,POST_0004,user_929,4. Eco-chic is my new aesthetic now! ğŸŒ±âœ¨ğŸ‘—,2026-01-04 13:46:56,positive,0.6781,Facebook,en
C_9489,POST_0002,user_271,5. Sustainable fashion for the win! ğŸ†ğŸƒğŸ’ƒ,2026-01-04 13:46:56,positive,0.8928,Instagram,en
C_5406,POST_0003,user_521,6. This collection gives me life! ğŸ™â™»ï¸ğŸ’•,2026-01-04 13:46:56,positive,0.9304,Twitter,en
C_7378,POST_0002,user_374,7. Thank you for making a difference in the fashion industry! ğŸ™ŒğŸŒ¸ğŸŒ,2026-01-04 13:46:56,positive,0.9343,Instagram,en
C_9440,POST_0002,user_681,8. Counting down the days until I can shop this amazing collection! â³ğŸ’šğŸ˜,2026-01-04 13:46:56,positive,0.855,Instagram,en
C_6595,POST_0001,user_593,9. My heart is so full knowing that sustainable fashion is becoming mainstream! ğŸ¥°â™»ï¸ğŸŒŸ,2026-01-04 13:46:56,positive,0.897,Facebook,en
C_6381,POST_0002,user_596,10. Literally screaming over this collection! ğŸ˜±ğŸ’šğŸŒ¿,2026-01-04 13:46:56,positive,0.859,Instagram,en
C_9013,POST_0001,user_286,"1. OMG, sustainable fashion goals! ğŸ˜â™»ï¸ Love this!",2026-01-04 13:49:00,positive,0.9306,Facebook,en
C_6831,POST_0002,user_705,2. We've been waiting for this! ğŸ™ŒğŸ¼ Finally! So good. â™»ï¸ğŸ’š,2026-01-04 13:49:00,positive,0.9312,Instagram,en
C_9455,POST_0002,user_886,3. The collection is ğŸ”¥ğŸ”¥ğŸ”¥. So excited to shop! â™»ï¸ğŸ˜,2026-01-04 13:49:00,positive,0.933,Instagram,en
C_7157,POST_0002,user_651,4. This is a total game-changer! â™»ï¸ğŸ’« Love this!,2026-01-04 13:49:00,positive,0.9498,Instagram,en
C_7018,POST_0002,user_195,"5. It's about time! ğŸ‰â™»ï¸ Finally, a sustainable collection we deserve!",2026-01-04 13:49:00,positive,0.911,Instagram,en
C_6837,POST_0002,user_336,6. Just in time for Earth Day! ğŸŒğŸŒ¿ Love this! â™»ï¸,2026-01-04 13:49:00,positive,0.9204,Instagram,en
C_7915,POST_0004,user_301,7. Sustainable fashion never looked so good! ğŸ˜â™»ï¸ Finally!,2026-01-04 13:49:00,positive,0.9222,Facebook,en
C_9725,POST_0001,user_904,8. A dream come true! ğŸŒŸâ™»ï¸ Love this!,2026-01-04 13:49:00,positive,0.9506,Facebook,en
C_8222,POST_0004,user_354,"9. My heart is so full! ğŸ¥°â™»ï¸ Finally, a sustainable collection!",2026-01-04 13:49:00,positive,0.9248,Facebook,en
C_5216,POST_0004,user_381,10. This launch is everything! ğŸ’¥â™»ï¸ Love this!,2026-01-04 13:49:00,positive,0.9473,Facebook,en
C_8785,POST_0003,user_861,1. Love the eco-friendly fabrics used! ğŸŒ¿,2026-01-04 14:00:02,positive,0.9048,Twitter,en
C_9584,POST_0004,user_678,2. Sustainable fashion at its best! ğŸ‘—â™»ï¸,2026-01-04 14:00:02,positive,0.7767,Facebook,en
C_8961,POST_0001,user_864,3. Swadeshi brand with global appeal. ğŸ‡®ğŸ‡³,2026-01-04 14:00:02,positive,0.6581,Facebook,en
C_5274,POST_0003,user_671,4. Perfect balance of style and sustainability. ğŸ‘ŒğŸŒ,2026-01-04 14:00:02,positive,0.9076,Twitter,en
C_7549,POST_0001,user_781,5. Proud to support such a conscious brand. ğŸ’šğŸ™Œ,2026-01-04 14:00:02,positive,0.9472,Facebook,en
C_8678,POST_0002,user_504,1. Love the organic cotton you use! â™»ï¸,2026-01-04 15:00:01,positive,0.8828,Instagram,en
C_9226,POST_0002,user_768,2. Sustainable fashion ftw! ğŸŒ¿,2026-01-04 15:00:01,positive,0.6022,Instagram,en
C_7361,POST_0001,user_173,3. Yeh kapde kitne comfy hain! ğŸ˜,2026-01-04 15:00:01,positive,0.7842,Facebook,hinglish
C_9034,POST_0004,user_609,4. Keep up the eco-friendly work! ğŸŒ,2026-01-04 15:00:01,positive,0.8905,Facebook,en
C_5810,POST_0001,user_344,5. I appreciate your commitment to ethical fashion. ğŸ‘,2026-01-04 15:00:01,positive,0.9159,Facebook,en
C_8805,POST_0003,user_529,- Website crashed during checkout! ğŸ˜¡,2026-01-04 15:38:29,negative,0.9212,Twitter,en
C_8543,POST_0001,user_453,- My item arrived broken. Unacceptable! ğŸ˜ ,2026-01-04 15:38:29,negative,0.9566,Facebook,en
C_5923,POST_0001,user_712,- Shipping delayed again. Not impressed. ğŸ‘,2026-01-04 15:38:29,negative,0.9518,Facebook,en
C_5713,POST_0001,user_389,- Can't access my account due to website crash. ğŸ˜ ,2026-01-04 15:38:29,negative,0.8904,Facebook,en
C_9879,POST_0004,user_255,- Waiting months for my order. Unacceptable service. ğŸ˜¤,2026-01-04 15:38:29,negative,0.9571,Facebook,en
C_8713,POST_0004,user_142,1. Love the vibrant colors in your collection! ğŸŒˆ,2026-01-04 18:00:02,positive,0.9344,Facebook,en
C_7272,POST_0003,user_729,2. Great to see eco-friendly options. Keep it up! â™»ï¸,2026-01-04 18:00:02,positive,0.9315,Twitter,en
C_5317,POST_0003,user_323,3. Can't wait to rock these sustainable threads. ğŸŒ¿,2026-01-04 18:00:02,positive,0.9121,Twitter,en
C_8709,POST_0001,user_173,4. Stylish and sustainable - a perfect combo! ğŸ‘—,2026-01-04 18:00:02,positive,0.8977,Facebook,en
C_9070,POST_0001,user_745,5. Your brand is making a positive impact. Kudos! ğŸŒ,2026-01-04 18:00:02,positive,0.948,Facebook,en
C_7810,POST_0004,user_981,1. Website crashed during checkout ğŸ˜¡.,2026-01-04 19:36:49,negative,0.903,Facebook,en
C_7787,POST_0003,user_906,"2. Received broken items, no response from customer service ğŸ˜ .",2026-01-04 19:36:49,negative,0.8387,Twitter,en
C_8964,POST_0001,user_594,"3. Shipping delayed for weeks, missed important event ğŸ˜¤.",2026-01-04 19:36:49,negative,0.8829,Facebook,en
C_7342,POST_0004,user_118,4. Can't access account due to repeated errors ğŸ˜¡.,2026-01-04 19:36:49,negative,0.9128,Facebook,en
C_5387,POST_0002,user_386,"5. No updates on order status, frustrated with lack of communication ğŸ˜ .",2026-01-04 19:36:49,negative,0.9111,Instagram,en
C_5920,POST_0002,user_270,1. Love the sustainable options! â™»ï¸,2026-01-05 20:00:04,positive,0.9112,Instagram,en
C_5732,POST_0004,user_511,2. Yeh clothes kitne stylish hai! ğŸ˜,2026-01-05 20:00:04,positive,0.81,Facebook,hinglish
C_7043,POST_0003,user_509,3. Ethical fashion ftw! ğŸŒ¿,2026-01-05 20:00:04,positive,0.511,Twitter,en
C_6936,POST_0002,user_681,4. So happy to support eco-friendly brands. ğŸ’š,2026-01-05 20:00:04,positive,0.929,Instagram,en
C_5887,POST_0002,user_239,5. Wardrobe goals met with these pieces! ğŸŒ¸,2026-01-05 20:00:04,positive,0.9147,Instagram,en
C_8803,POST_0002,user_950,1. Love the eco-friendly vibes! ğŸŒ¿,2026-01-05 21:00:02,positive,0.9027,Instagram,en
C_7004,POST_0001,user_726,2. Sustainable fashion goals! ğŸ’š,2026-01-05 21:00:02,positive,0.8478,Facebook,en
C_8814,POST_0004,user_401,3. Bahut stylish aur environment friendly clothes! ğŸŒ,2026-01-05 21:00:02,positive,0.8351,Facebook,hinglish
C_5680,POST_0002,user_282,4. Perfect blend of fashion and sustainability. â™»ï¸,2026-01-05 21:00:02,positive,0.8934,Instagram,en
C_7636,POST_0001,user_884,5. So happy to support a brand making a difference. â¤ï¸,2026-01-05 21:00:02,positive,0.9458,Facebook,en
C_5120,POST_0002,user_282,"1. Website crashed, lost my order! Unacceptable ğŸ¤¬",2026-01-05 21:51:08,negative,0.9521,Instagram,en
C_6109,POST_0002,user_241,"2. Items arrived broken, poor packaging ğŸ‘",2026-01-05 21:51:08,negative,0.9391,Instagram,en
C_8302,POST_0004,user_115,"3. Shipping delay, missed event, disappointed ğŸ˜ ",2026-01-05 21:51:08,negative,0.9389,Facebook,en
C_8763,POST_0003,user_712,"4. Can't access account, frustrating login issues ğŸ¤¯",2026-01-05 21:51:08,negative,0.9069,Twitter,en
C_5209,POST_0003,user_183,"5. Customer service unresponsive, no help ğŸ˜¡",2026-01-05 21:51:08,negative,0.9489,Twitter,en
C_9257,POST_0001,user_734,"1. ""Website crashed during checkout, lost my order ğŸ˜¡""",2026-01-05 21:51:42,negative,0.8945,Facebook,en
C_9985,POST_0002,user_838,"2. ""Received broken items, never shopping here again ğŸ¤¬""",2026-01-05 21:51:42,negative,0.8182,Instagram,en
C_6773,POST_0003,user_693,"3. ""Shipping delayed twice, terrible customer service ğŸ˜ """,2026-01-05 21:51:42,negative,0.946,Twitter,en
C_8692,POST_0003,user_340,"4. ""Lost in transit, no communication on status ğŸš«""",2026-01-05 21:51:42,negative,0.7642,Twitter,en
C_5770,POST_0004,user_265,"5. ""Worst online shopping experience ever, refund now ğŸ’¢""",2026-01-05 21:51:42,negative,0.8047,Facebook,en
C_7357,POST_0002,user_615,1. Love the eco-friendly designs! â™»ï¸,2026-01-05 22:00:02,positive,0.9082,Instagram,en
C_6799,POST_0004,user_603,,2026-01-05 22:00:02,neutral,0.3959,Facebook,en
C_5642,POST_0004,user_730,2. Yeh toh #sustainablefashion hai! ğŸ‘—,2026-01-05 22:00:02,positive,0.5992,Facebook,hinglish
C_7913,POST_0002,user_551,,2026-01-05 22:00:02,neutral,0.3959,Instagram,en
C_6751,POST_0004,user_567,3. Great to see more options for conscious consumers. ğŸŒ¿,2026-01-05 22:00:02,positive,0.8746,Facebook,en
C_9161,POST_0003,user_577,,2026-01-05 22:00:02,neutral,0.3959,Twitter,en
C_8884,POST_0001,user_975,4. The world needs more brands like this. ğŸ™Œ,2026-01-05 22:00:02,positive,0.8459,Facebook,en
C_8204,POST_0004,user_229,,2026-01-05 22:00:02,neutral,0.3959,Facebook,en
C_7593,POST_0001,user_893,5. Sustainable style for the win! ğŸ’š,2026-01-05 22:00:02,positive,0.9304,Facebook,en
C_9936,POST_0002,user_587,,2026-01-05 22:00:02,neutral,0.3959,Instagram,en
C_6013,POST_0002,user_836,6. Kudos on promoting ethical fashion choices. ğŸ‘,2026-01-05 22:00:02,positive,0.9177,Instagram,en
C_5369,POST_0001,user_569,,2026-01-05 22:00:02,neutral,0.3959,Facebook,en
C_5050,POST_0004,user_242,7. Wardrobe goals with a conscience. ğŸŒ,2026-01-05 22:00:02,neutral,0.735,Facebook,en
C_5551,POST_0002,user_733,,2026-01-05 22:00:02,neutral,0.3959,Instagram,en
C_8767,POST_0003,user_397,8. Time to switch to sustainable clothing options! ğŸŒ¿,2026-01-05 22:00:02,positive,0.6567,Twitter,en
C_5747,POST_0004,user_707,,2026-01-05 22:00:02,neutral,0.3959,Facebook,en
C_5246,POST_0003,user_528,9. Excited to support a brand making a positive impact. ğŸŒŸ,2026-01-05 22:00:02,positive,0.933,Twitter,en
C_7642,POST_0001,user_635,,2026-01-05 22:00:02,neutral,0.3959,Facebook,en
C_7872,POST_0004,user_141,10. Can't wait to shop for guilt-free fashion! ğŸ’ƒ,2026-01-05 22:00:02,positive,0.8819,Facebook,en
C_8050,POST_0003,user_212,1. Love the eco-friendly styles! â™»ï¸,2026-01-05 23:00:02,positive,0.8954,Twitter,en
C_8498,POST_0002,user_916,2. Sustainable fashion goals! ğŸŒ¿ğŸ’š,2026-01-05 23:00:02,positive,0.783,Instagram,en
C_7958,POST_0004,user_157,3. Neutral colors are so versatile. ğŸ‘Œ,2026-01-05 23:00:02,positive,0.8722,Facebook,en
C_5411,POST_0002,user_486,"4. Comfy AND good for the earth? Yes, please! ğŸŒ",2026-01-05 23:00:02,positive,0.7664,Instagram,en
C_7626,POST_0001,user_804,5. These pieces will never go out of style. ğŸ‘—ğŸŒŸ,2026-01-05 23:00:02,positive,0.8149,Facebook,en
