post_id,platform,post_type,content,media_type,posted_date,posted_time,impressions,reach,likes,comments,shares,saves,engagement_rate
POST_0002,Instagram,organic,Quality aur style dono! Hamare Sustainable Clothing try karo ğŸ‘Œ #BestQuality #Affordable,image,07-11-2025,19:56:13,81260,72015,5496,638,341,1304,8.99
POST_0012,Instagram,organic,Quality aur style dono! Hamare Green Living try karo ğŸ‘Œ #BestQuality #Affordable,video,24-09-2025,20:30:18,52435,46811,5166,374,184,1195,12.23
POST_0013,Instagram,organic,Customer love! Thank you for choosing sustainable ğŸ’š #CustomerStory #EcoStyle,image,24-10-2025,01:04:06,55111,41110,2106,170,152,438,5.91
POST_0014,Instagram,organic,Limited stock! Jaldi order karo Green Living âš¡ #LimitedEdition #HurryUp,carousel,14-09-2025,01:26:54,28117,18133,1559,220,55,238,10.12
POST_0015,Instagram,organic,Weekend plans? Shopping karo with flat 25% off ğŸ›ï¸ #WeekendSale #EcoFriendly,image,25-10-2025,02:01:36,32773,21506,1357,109,105,221,7.3
POST_0017,Instagram,organic,Customer love! Thank you for choosing sustainable ğŸ’š #CustomerStory #EcoStyle,video,17-10-2025,15:24:00,35510,25394,1682,123,132,282,7.63
POST_0031,Instagram,organic,Behind the scenes of our Eco Accessories production ğŸ“¸ #EthicalFashion #Handmade,video,19-11-2025,22:00:00,58898,49365,2247,294,158,437,5.47
POST_0033,Instagram,organic,Limited time offer on Green Living! Shop now âš¡ #Sale #SustainableLiving,image,27-09-2025,14:55:58,49966,33174,2131,311,137,259,7.77
POST_0035,Instagram,organic,Customer love! Thank you for choosing sustainable ğŸ’š #CustomerStory #EcoStyle,carousel,03-12-2025,00:51:47,38613,26479,1689,225,54,267,7.39
POST_0038,Instagram,organic,Behind the scenes of our Organic Footwear production ğŸ“¸ #EthicalFashion #Handmade,image,18-11-2025,18:08:32,82801,64031,7161,984,433,1663,13.4
POST_0043,Instagram,organic,Behind the scenes of our Sustainable Clothing production ğŸ“¸ #EthicalFashion #Handmade,carousel,08-11-2025,07:30:38,45159,37450,2794,417,128,426,8.92
POST_0046,Instagram,organic,Customer love! Thank you for choosing sustainable ğŸ’š #CustomerStory #EcoStyle,video,08-11-2025,16:28:19,51808,43851,4448,486,131,622,11.52
POST_0047,Instagram,organic,New collection launch! Check out our latest Eco Accessories ğŸŒ¿ #Sustainable #EcoFriendly,carousel,07-10-2025,06:04:06,28445,17391,1014,54,34,102,6.34
POST_0049,Instagram,organic,Yeh Eco Accessories ekdum perfect hai summer ke liye! â˜€ï¸ #FashionGoals #EcoStyle,video,26-11-2025,07:53:59,54959,34183,2729,404,85,616,9.41
POST_0051,Instagram,organic,Customer love! Thank you for choosing sustainable ğŸ’š #CustomerStory #EcoStyle,carousel,25-09-2025,02:45:56,60917,46382,1399,145,64,273,3.47
POST_0061,Instagram,organic,Sale sale sale! Eco Accessories pe flat 30% off ğŸŠ #Dhamaka #Shopping,image,01-10-2025,15:29:32,57162,41770,1069,53,31,208,2.72
POST_0062,Instagram,organic,Customer reviews dekho! Sab log khush hai hamare Sustainable Clothing se ğŸ’š #HappyCustomers,image,12-10-2025,16:05:29,55942,41284,2435,130,191,506,6.68
POST_0068,Instagram,organic,Limited stock! Jaldi order karo Eco Accessories âš¡ #LimitedEdition #HurryUp,image,11-09-2025,09:37:53,81825,53147,4666,505,191,1106,10.08
POST_0070,Instagram,organic,Behind the scenes of our Organic Footwear production ğŸ“¸ #EthicalFashion #Handmade,carousel,07-12-2025,04:36:43,56950,51095,1755,143,102,454,3.91
POST_0071,Instagram,organic,Weekend plans? Shopping karo with flat 25% off ğŸ›ï¸ #WeekendSale #EcoFriendly,image,17-09-2025,10:24:21,20751,17481,1514,126,58,326,9.69
POST_0075,Instagram,organic,Weekend vibes with Sustainable Clothing â˜€ï¸ #WeekendStyle #SustainableFashion,image,22-10-2025,04:07:11,58028,41461,1200,96,94,329,3.35
POST_0076,Instagram,organic,Limited stock! Jaldi order karo Eco Accessories âš¡ #LimitedEdition #HurryUp,video,21-11-2025,05:53:10,86077,60043,2824,197,501,205,3.77
POST_0082,Instagram,organic,Sale sale sale! Sustainable Clothing pe flat 30% off ğŸŠ #Dhamaka #Shopping,image,25-10-2025,03:51:53,43840,37231,2454,284,127,442,7.7
POST_0085,Instagram,organic,New collection launch! Check out our latest Green Living ğŸŒ¿ #Sustainable #EcoFriendly,image,01-11-2025,01:49:25,46824,41998,2659,201,133,638,7.13
POST_0087,Instagram,organic,Customer love! Thank you for choosing sustainable ğŸ’š #CustomerStory #EcoStyle,video,12-11-2025,03:55:44,71462,55447,1837,105,54,239,3.6
POST_0090,Instagram,organic,Flat 20% off on all Eco Accessories! Use code: ECO20 ğŸ‰ #Discount #ShopNow,image,18-11-2025,12:58:12,65419,47365,1560,124,57,200,3.68
POST_0092,Instagram,organic,Flat 20% off on all Eco Accessories! Use code: ECO20 ğŸ‰ #Discount #ShopNow,video,10-12-2025,08:03:34,64062,43011,5906,362,487,401,11.38
POST_0093,Instagram,organic,Customer love! Thank you for choosing sustainable ğŸ’š #CustomerStory #EcoStyle,video,30-10-2025,15:59:31,22597,15898,1763,175,44,453,12.47
POST_0094,Instagram,organic,Quality aur style dono! Hamare Green Living try karo ğŸ‘Œ #BestQuality #Affordable,video,08-10-2025,04:20:42,58529,48148,1288,150,59,371,3.11
POST_0095,Instagram,organic,Limited time offer on Green Living! Shop now âš¡ #Sale #SustainableLiving,image,28-10-2025,14:30:21,44752,39299,2217,140,148,563,6.37
POST_0096,Instagram,organic,Style guide: How to wear our Sustainable Clothing in 3 different ways ğŸ‘— #FashionTips #Sustainable,video,15-11-2025,20:08:07,61686,54777,3475,208,150,866,7.0
POST_0097,Instagram,organic,Meet our artisans: The hands behind your favorite Green Living ğŸ‘ #Artisan #Handcrafted,video,07-12-2025,11:43:32,40361,25577,2072,155,70,460,9.26
POST_0098,Instagram,organic,Weekend plans? Shopping karo with flat 25% off ğŸ›ï¸ #WeekendSale #EcoFriendly,video,20-09-2025,20:47:22,74463,57769,2904,369,138,492,5.96
POST_0100,Instagram,organic,This week's bestseller: Our iconic Sustainable Clothing is back in stock! ğŸ”¥ #Trending #EcoFashion,image,22-11-2025,08:38:12,70164,47016,3441,393,99,720,8.37
POST_0105,Instagram,organic,Limited stock! Jaldi order karo Eco Accessories âš¡ #LimitedEdition #HurryUp,video,25-10-2025,18:20:26,50430,33114,1933,182,122,517,7.04
POST_0107,Instagram,organic,Flat 20% off on all Green Living! Use code: ECO20 ğŸ‰ #Discount #ShopNow,image,08-10-2025,22:41:33,57513,38639,4067,408,500,376,10.79
POST_0111,Instagram,organic,Flat 20% off on all Green Living! Use code: ECO20 ğŸ‰ #Discount #ShopNow,image,30-10-2025,04:30:16,70216,46905,5156,240,313,792,7.68
POST_0112,Instagram,organic,New collection launch! Check out our latest Sustainable Clothing ğŸŒ¿ #Sustainable #EcoFriendly,video,02-11-2025,15:07:44,23090,20264,1070,112,29,197,5.9
POST_0113,Instagram,organic,Comfort aur fashion ka perfect mix! Sustainable Clothing collection ğŸ‘— #ComfortWear #Stylish,image,10-10-2025,17:58:20,35315,26035,1344,156,87,303,6.1
POST_0118,Instagram,organic,Customer love! Thank you for choosing sustainable ğŸ’š #CustomerStory #EcoStyle,video,14-09-2025,00:06:00,60845,46541,1523,198,104,352,3.92
POST_0119,Instagram,organic,Behind the scenes of our Green Living production ğŸ“¸ #EthicalFashion #Handmade,video,10-11-2025,09:47:08,77911,65442,5941,424,296,1646,10.18
POST_0125,Instagram,organic,Yeh Sustainable Clothing ekdum perfect hai summer ke liye! â˜€ï¸ #FashionGoals #EcoStyle,image,16-11-2025,06:36:07,46441,32109,2132,144,60,215,7.42
POST_0130,Instagram,organic,Style guide: How to wear our Sustainable Clothing in 3 different ways ğŸ‘— #FashionTips #Sustainable,image,28-11-2025,01:12:51,49823,39871,2040,302,126,584,6.35
POST_0132,Instagram,organic,New collection launch! Check out our latest Sustainable Clothing ğŸŒ¿ #Sustainable #EcoFriendly,carousel,15-10-2025,20:10:57,74812,55957,2603,308,153,386,5.48
POST_0134,Instagram,organic,Customer reviews dekho! Sab log khush hai hamare Sustainable Clothing se ğŸ’š #HappyCustomers,image,20-09-2025,05:20:54,24198,18648,416,57,31,49,2.88
POST_0135,Instagram,organic,This week's bestseller: Our iconic Green Living is back in stock! ğŸ”¥ #Trending #EcoFashion,carousel,26-09-2025,20:33:06,83133,60252,1595,218,125,379,3.22
POST_0138,Instagram,organic,Customer love! Thank you for choosing sustainable ğŸ’š #CustomerStory #EcoStyle,image,01-10-2025,19:03:51,46907,28366,2906,379,200,397,12.27
POST_0141,Instagram,organic,Comfort aur fashion ka perfect mix! Sustainable Clothing collection ğŸ‘— #ComfortWear #Stylish,image,09-12-2025,04:47:19,81260,55518,4899,654,274,732,10.5
